Date,Visitor,Visitor Score,Home Team,Home Score,Line,Winning,Winning Points,Losing,Losing Points,Year
10/3/87,Virginia Military,0,Virginia,30, ,Virginia,30,Virginia Military,0,1987
10/3/87,Washington,22,Oregon,29,-9.5,Oregon,29,Washington,22,1987
10/3/87,Wake Forest,17,Army,13,0,Wake Forest,17,Army,13,1987
10/3/87,Wisconsin,0,Michigan,49,24,Michigan,49,Wisconsin,0,1987
10/3/87,Yale,10,Hawaii,62,29.5,Hawaii,62,Yale,10,1987
10/10/87,Air Force,23,Navy,13,-21,Air Force,23,Navy,13,1987
10/10/87,Akron,26,Oregon State,42, ,Oregon State,42,Akron,26,1987
10/10/87,Alabama,10,Memphis,13,-16,Memphis,13,Alabama,10,1987
10/10/87,Arizona,23,California,23,-10,Arizona,23,California,23,1987
10/10/87,Arkansas,31,Texas Tech,0,-7,Arkansas,31,Texas Tech,0,1987
10/10/87,Army,24,Boston College,29,19.5,Boston College,29,Army,24,1987
10/10/87,Arizona State,14,Washington,27,1,Washington,27,Arizona State,14,1987
10/10/87,Bowling Green,28,Ohio,7, ,Bowling Green,28,Ohio,7,1987
10/10/87,Cincinnati,28,East Carolina,56,3,East Carolina,56,Cincinnati,28,1987
10/10/87,Colorado,17,Oklahoma State,42,6,Oklahoma State,42,Colorado,17,1987
10/10/87,Eastern Michigan,6,Central Michigan,16, ,Central Michigan,16,Eastern Michigan,6,1987
10/10/87,Florida State,61,Southern Miss,10,-19,Florida State,61,Southern Miss,10,1987
10/10/87,Fullerton State,0,Florida,65, ,Florida,65,Fullerton State,0,1987
10/10/87,Hawaii,41,New Mexico,31,-2.5,Hawaii,41,New Mexico,31,1987
10/10/87,Houston,17,Texas A+M,22,21.5,Texas A+M,22,Houston,17,1987
10/10/87,Illinois,3,Purdue,9,-5,Purdue,9,Illinois,3,1987
10/10/87,Indiana,31,Ohio State,10,14.5,Indiana,31,Ohio State,10,1987
10/10/87,Indiana State,0,Georgia Tech,38, ,Georgia Tech,38,Indiana State,0,1987
10/10/87,Iowa,31,Wisconsin,10,-17,Iowa,31,Wisconsin,10,1987
10/10/87,Kansas,2,Nebraska,54,48,Nebraska,54,Kansas,2,1987
10/10/87,Kent State,23,Ball State,24, ,Ball State,24,Kent State,23,1987
10/10/87,Kansas State,10,Missouri,34,24,Missouri,34,Kansas State,10,1987
10/10/87,Long Beach State,9,Pacific,6, ,Long Beach State,9,Pacific,6,1987
10/10/87,Louisiana State,26,Georgia,23,0,Louisiana State,26,Georgia,23,1987
10/10/87,Marshall,34,Louisville,31, ,Marshall,34,Louisville,31,1987
10/10/87,Maryland,16,Miami-Florida,46,26,Miami-Florida,46,Maryland,16,1987
10/10/87,Miami-Ohio,17,Western Michigan,0, ,Miami-Ohio,17,Western Michigan,0,1987
10/10/87,Michigan,11,Michigan State,17,-6,Michigan State,17,Michigan,11,1987
10/10/87,Minnesota,45,Northwestern,33,-12.5,Minnesota,45,Northwestern,33,1987
10/10/87,Mississippi,6,Kentucky,35,6,Kentucky,35,Mississippi,6,1987
10/10/87,Notre Dame,22,Pittsburgh,30,-7.5,Pittsburgh,30,Notre Dame,22,1987
10/10/87,New Mexico State,6,San Jose State,57, ,San Jose State,57,New Mexico State,6,1987
10/10/87,Northern Iowa,38,Iowa State,39, ,Iowa State,39,Northern Iowa,38,1987
10/10/87,Northwestern St(LA),3,UL-Lafayette,13, ,UL-Lafayette,13,Northwestern St(LA),3,1987
10/10/87,Oklahoma,44,Texas,9,-30,Oklahoma,44,Texas,9,1987
10/10/87,Rutgers,21,Penn State,35,15,Penn State,35,Rutgers,21,1987
10/10/87,Southern Cal,27,Oregon,34,-7,Oregon,34,Southern Cal,27,1987
10/10/87,Southern Illinois,0,Fresno State,35, ,Fresno State,35,Southern Illinois,0,1987
10/10/87,Stanford,44,Washington State,7,6,Stanford,44,Washington State,7,1987
10/10/87,Texas State,15,Baylor,36, ,Baylor,36,Texas State,15,1987
10/10/87,Texas Christian,30,Rice,16,-10,Texas Christian,30,Rice,16,1987
10/10/87,Toledo,5,Northern Illinois,41, ,Northern Illinois,41,Toledo,5,1987
10/10/87,Tulsa,24,Temple,17,12,Tulsa,24,Temple,17,1987
10/10/87,Utah,24,Colorado State,23,-2,Utah,24,Colorado State,23,1987
10/10/87,UTEP,34,San Diego State,33,-1,UTEP,34,San Diego State,33,1987
10/10/87,Utah State,27,Nevada-Las Vegas,28, ,Nevada-Las Vegas,28,Utah State,27,1987
10/10/87,Vanderbilt,15,Auburn,48,25,Auburn,48,Vanderbilt,15,1987
10/10/87,Virginia,21,Clemson,38,18,Clemson,38,Virginia,21,1987
10/10/87,Virginia Tech,10,South Carolina,40,17,South Carolina,40,Virginia Tech,10,1987
10/10/87,Wake Forest,22,North Carolina,14,12,Wake Forest,22,North Carolina,14,1987
10/10/87,Wyoming,29,Brigham Young,27,2.5,Wyoming,29,Brigham Young,27,1987
10/16/87,Indiana,18,Minnesota,17,2,Indiana,18,Minnesota,17,1987
10/17/87,Auburn,20,Georgia Tech,10,-14.5,Auburn,20,Georgia Tech,10,1987
10/17/87,Ball State,28,Eastern Michigan,35, ,Eastern Michigan,35,Ball State,28,1987
10/17/87,Boston College,24,Rutgers,38,-5.5,Rutgers,38,Boston College,24,1987
10/17/87,Cincinnati,17,West Virginia,45,18,West Virginia,45,Cincinnati,17,1987
10/17/87,Colgate,22,Army,20, ,Colgate,22,Army,20,1987
10/17/87,Delaware State,52,Akron,26, ,Delaware State,52,Akron,26,1987
10/17/87,Duke,10,Clemson,17,22,Clemson,17,Duke,10,1987
10/17/87,East Carolina,32,Virginia Tech,23,5.5,East Carolina,32,Virginia Tech,23,1987
10/17/87,Fullerton State,28,Nevada-Las Vegas,14, ,Fullerton State,28,Nevada-Las Vegas,14,1987
10/17/87,Georgia,52,Vanderbilt,24,-15,Georgia,52,Vanderbilt,24,1987
10/17/87,Houston,35,Wyoming,37,13.5,Wyoming,37,Houston,35,1987
10/17/87,Iowa,10,Michigan,37,6.5,Michigan,37,Iowa,10,1987
10/17/87,Kansas,10,Colorado,35,30,Colorado,35,Kansas,10,1987
10/17/87,Kentucky,9,Louisiana State,34,11.5,Louisiana State,34,Kentucky,9,1987
10/17/87,Lamar,14,UTEP,38, ,UTEP,38,Lamar,14,1987
10/17/87,Louisville,9,Florida State,32,47,Florida State,32,Louisville,9,1987
10/17/87,Michigan State,38,Northwestern,0,-18,Michigan State,38,Northwestern,0,1987
10/17/87,Maryland,14,Wake Forest,0,3.5,Maryland,14,Wake Forest,0,1987
10/17/87,Missouri,42,Iowa State,17,-12.5,Missouri,42,Iowa State,17,1987
10/17/87,Mississippi State,14,Southern Miss,18,3.5,Southern Miss,18,Mississippi State,14,1987
10/17/87,Navy,38,Pennsylvania,28,-3,Navy,38,Pennsylvania,28,1987
10/17/87,North Carolina,17,No Carolina State,14,-4.5,North Carolina,17,No Carolina State,14,1987
10/17/87,Notre Dame,35,Air Force,14,-12,Notre Dame,35,Air Force,14,1987
10/17/87,Nebraska,35,Oklahoma State,0,-10.5,Nebraska,35,Oklahoma State,0,1987
10/17/87,New Mexico,13,Colorado State,35,3,Colorado State,35,New Mexico,13,1987
10/17/87,New Mexico State,6,Long Beach State,33, ,Long Beach State,33,New Mexico State,6,1987
10/17/87,North Texas,10,Texas Christian,19, ,Texas Christian,19,North Texas,10,1987
10/17/87,Ohio,9,Miami-Ohio,10, ,Miami-Ohio,10,Ohio,9,1987
10/17/87,Ohio State,20,Purdue,17,-12.5,Ohio State,20,Purdue,17,1987
10/17/87,Oklahoma,59,Kansas State,10,-57.5,Oklahoma,59,Kansas State,10,1987
10/17/87,Oregon,10,U.C.L.A.,41,17,U.C.L.A.,41,Oregon,10,1987
10/17/87,Oregon State,17,Arizona,31,22,Arizona,31,Oregon State,17,1987
10/17/87,Pacific,13,Utah State,17, ,Utah State,17,Pacific,13,1987
10/17/87,Penn State,21,Syracuse,48,-2,Syracuse,48,Penn State,21,1987
10/17/87,Rice,7,Texas Tech,59,15.5,Texas Tech,59,Rice,7,1987
10/17/87,Southern Cal,37,Washington,23,4,Southern Cal,37,Washington,23,1987
10/17/87,San Jose State,20,Fresno State,16, ,San Jose State,20,Fresno State,16,1987
10/17/87,Stanford,44,San Diego State,40,-5,Stanford,44,San Diego State,40,1987
10/17/87,UL-Lafayette,14,Mississippi,24, ,Mississippi,24,UL-Lafayette,14,1987
10/17/87,Missouri State,21,Northern Illinois,27, ,Northern Illinois,27,Missouri State,21,1987
10/17/87,Temple,3,Florida,34,23,Florida,34,Temple,3,1987
10/17/87,Tennessee,22,Alabama,41,-2.5,Alabama,41,Tennessee,22,1987
10/17/87,Texas,16,Arkansas,14,8.5,Texas,16,Arkansas,14,1987
10/17/87,Toledo,6,Bowling Green,20, ,Bowling Green,20,Toledo,6,1987
10/17/87,Tulane,36,Memphis,45,0,Memphis,45,Tulane,36,1987
10/17/87,Tulsa,18,Central Michigan,41, ,Central Michigan,41,Tulsa,18,1987
10/17/87,Texas A+M,34,Baylor,10,-4.5,Texas A+M,34,Baylor,10,1987
10/17/87,Utah,14,Hawaii,25,8.5,Hawaii,25,Utah,14,1987
10/17/87,Virginia,10,South Carolina,58,14.5,South Carolina,58,Virginia,10,1987
10/17/87,Washington State,7,Arizona State,38,17.5,Arizona State,38,Washington State,7,1987
10/17/87,Wisconsin,14,Illinois,16,11,Illinois,16,Wisconsin,14,1987
10/17/87,Western Michigan,13,Kent State,27, ,Kent State,27,Western Michigan,13,1987
10/24/87,Akron,10,Louisville,31, ,Louisville,31,Akron,10,1987
10/24/87,Arizona,28,Washington State,45,-8.5,Washington State,45,Arizona,28,1987
10/24/87,Arizona State,30,Oregon State,21,-19.5,Arizona State,30,Oregon State,21,1987
10/24/87,Brigham Young,16,Hawaii,14,-2.5,Brigham Young,16,Hawaii,14,1987
10/24/87,California,18,U.C.L.A.,42,28,U.C.L.A.,42,California,18,1987
10/24/87,Central Michigan,3,Ball State,13, ,Ball State,13,Central Michigan,3,1987
10/24/87,Colgate,6,Syracuse,52, ,Syracuse,52,Colgate,6,1987
10/24/87,Colorado,6,Oklahoma,24,34,Oklahoma,24,Colorado,6,1987
10/24/87,Duke,22,Maryland,23,8,Maryland,23,Duke,22,1987
10/24/87,East Carolina,12,South Carolina,34,23,South Carolina,34,East Carolina,12,1987
10/24/87,Eastern Michigan,23,Western Michigan,17, ,Eastern Michigan,23,Western Michigan,17,1987
10/24/87,Fresno State,22,Pacific,23, ,Pacific,23,Fresno State,22,1987
10/24/87,Fullerton State,21,Northern Illinois,20, ,Fullerton State,21,Northern Illinois,20,1987
10/24/87,Georgia Tech,15,Tennessee,29,15.5,Tennessee,29,Georgia Tech,15,1987
10/24/87,Houston,17,Arkansas,21,17,Arkansas,21,Houston,17,1987
10/24/87,Iowa State,42,Kansas,28,-4,Iowa State,42,Kansas,28,1987
10/24/87,Illinois,14,Michigan State,14,16.5,Illinois,14,Michigan State,14,1987
10/24/87,Kent State,24,Ohio,10, ,Kent State,24,Ohio,10,1987
10/24/87,Kansas State,3,Nebraska,56,52,Nebraska,56,Kansas State,3,1987
10/24/87,Kentucky,14,Georgia,17,10,Georgia,17,Kentucky,14,1987
10/24/87,McNeese State,13,New Mexico State,32, ,New Mexico State,32,McNeese State,13,1987
10/24/87,Miami-Florida,48,Cincinnati,10,-38,Miami-Florida,48,Cincinnati,10,1987
10/24/87,Miami-Ohio,25,Toledo,37, ,Toledo,37,Miami-Ohio,25,1987
10/24/87,Michigan,10,Indiana,14,-8.5,Indiana,14,Michigan,10,1987
10/24/87,Minnesota,9,Ohio State,42,11,Ohio State,42,Minnesota,9,1987
10/24/87,Mississippi State,7,Auburn,38,25.5,Auburn,38,Mississippi State,7,1987
10/24/87,No Carolina State,30,Clemson,28,19,No Carolina State,30,Clemson,28,1987
10/24/87,Northwestern,27,Wisconsin,24,6.5,Northwestern,27,Wisconsin,24,1987
10/24/87,Oklahoma State,24,Missouri,20,-3,Oklahoma State,24,Missouri,20,1987
10/24/87,Oregon,10,Stanford,13,-1,Stanford,13,Oregon,10,1987
10/24/87,Pittsburgh,10,Navy,6,-26,Pittsburgh,10,Navy,6,1987
10/24/87,Purdue,14,Iowa,38,17,Iowa,38,Purdue,14,1987
10/24/87,Rutgers,27,Army,14,-6.5,Rutgers,27,Army,14,1987
10/24/87,Southern Cal,15,Notre Dame,26,6,Notre Dame,26,Southern Cal,15,1987
10/24/87,San Diego State,52,Long Beach State,42, ,San Diego State,52,Long Beach State,42,1987
10/24/87,Southern Miss,17,Memphis,14,2,Southern Miss,17,Memphis,14,1987
10/24/87,UL-Lafayette,17,UL-Monroe,7, ,UL-Lafayette,17,UL-Monroe,7,1987
10/24/87,Texas Christian,24,Baylor,0,3,Texas Christian,24,Baylor,0,1987
10/24/87,Tulsa,7,Texas Tech,42,14,Texas Tech,42,Tulsa,7,1987
10/24/87,Texas A+M,34,Rice,21,-25,Texas A+M,34,Rice,21,1987
10/24/87,Nevada-Las Vegas,24,San Jose State,48, ,San Jose State,48,Nevada-Las Vegas,24,1987
10/24/87,UTEP,7,Air Force,35,6,Air Force,35,UTEP,7,1987
10/24/87,Utah State,41,Utah,36, ,Utah State,41,Utah,36,1987
10/24/87,Vanderbilt,14,Mississippi,42,7,Mississippi,42,Vanderbilt,14,1987
10/24/87,Virginia Tech,38,Tulane,57,6.5,Tulane,57,Virginia Tech,38,1987
10/24/87,Wake Forest,21,Virginia,35,-1.5,Virginia,35,Wake Forest,21,1987
10/24/87,West Virginia,37,Boston College,16,1,West Virginia,37,Boston College,16,1987
10/31/87,Air Force,13,Brigham Young,24,1,Brigham Young,24,Air Force,13,1987
10/31/87,Arkansas State,21,Memphis,21, ,Arkansas State,21,Memphis,21,1987
10/31/87,Arizona,23,Stanford,13,-1,Arizona,23,Stanford,13,1987
10/31/87,Arkansas,38,Rice,14,-23,Arkansas,38,Rice,14,1987
10/31/87,Bowling Green,7,Miami-Ohio,17, ,Miami-Ohio,17,Bowling Green,7,1987
10/31/87,California,20,Oregon,6,9.5,California,20,Oregon,6,1987
10/31/87,Colorado,42,Iowa State,10,-17,Colorado,42,Iowa State,10,1987
10/31/87,Colorado State,15,Wyoming,20,16,Wyoming,20,Colorado State,15,1987
10/31/87,Florida,6,Auburn,29,1.5,Auburn,29,Florida,6,1987
10/31/87,Georgia Tech,14,Duke,48,1.5,Duke,48,Georgia Tech,14,1987
10/31/87,Houston,7,Texas Christian,35,7.5,Texas Christian,35,Houston,7,1987
10/31/87,Indiana,21,Iowa,29,6.5,Iowa,29,Indiana,21,1987
10/31/87,Jackson State,7,Southern Miss,17, ,Southern Miss,17,Jackson State,7,1987
10/31/87,Kansas State,7,Oklahoma State,56,30.5,Oklahoma State,56,Kansas State,7,1987
10/31/87,Louisville,22,Tulsa,26,5,Tulsa,26,Louisville,22,1987
10/31/87,Louisiana State,42,Mississippi,13,-13.5,Louisiana State,42,Mississippi,13,1987
10/31/87,Louisiana Tech,3,Texas A+M,32, ,Texas A+M,32,Louisiana Tech,3,1987
10/31/87,Michigan State,13,Ohio State,7,3.5,Michigan State,13,Ohio State,7,1987
10/31/87,Miami-Florida,41,East Carolina,3,-30.5,Miami-Florida,41,East Carolina,3,1987
10/31/87,Minnesota,17,Illinois,27,2.5,Illinois,27,Minnesota,17,1987
10/31/87,Mississippi State,18,Alabama,21,23,Alabama,21,Mississippi State,18,1987
10/31/87,Navy,13,Notre Dame,56,34,Notre Dame,56,Navy,13,1987
10/31/87,North Carolina,27,Maryland,14,-2.5,North Carolina,27,Maryland,14,1987
10/31/87,No Carolina State,0,South Carolina,48,17,South Carolina,48,No Carolina State,0,1987
10/31/87,Nebraska,42,Missouri,7,-20.5,Nebraska,42,Missouri,7,1987
10/31/87,Nicholls State,17,Akron,23, ,Akron,23,Nicholls State,17,1987
10/31/87,Northern Illinois,17,Ball State,42, ,Ball State,42,Northern Illinois,17,1987
10/31/87,New Mexico,0,UTEP,34,17.5,UTEP,34,New Mexico,0,1987
10/31/87,New Mexico State,14,Fullerton State,48, ,Fullerton State,48,New Mexico State,14,1987
10/31/87,Northwestern,6,Michigan,29,31,Michigan,29,Northwestern,6,1987
10/31/87,Ohio,16,Eastern Michigan,34, ,Eastern Michigan,34,Ohio,16,1987
10/31/87,Oklahoma,71,Kansas,10,-54,Oklahoma,71,Kansas,10,1987
10/31/87,Oregon State,12,Washington,28,22,Washington,28,Oregon State,12,1987
10/31/87,Rutgers,13,Vanderbilt,27,-6.5,Vanderbilt,27,Rutgers,13,1987
10/31/87,San Diego State,29,Hawaii,21,7,San Diego State,29,Hawaii,21,1987
10/31/87,San Jose State,24,Utah State,14, ,San Jose State,24,Utah State,14,1987
10/31/87,Syracuse,24,Pittsburgh,10,-3.5,Syracuse,24,Pittsburgh,10,1987
10/31/87,Temple,7,Army,17,-4,Army,17,Temple,7,1987
10/31/87,Tennessee,18,Boston College,20,-6.5,Boston College,20,Tennessee,18,1987
10/31/87,Tennessee Tech,17,Cincinnati,38, ,Cincinnati,38,Tennessee Tech,17,1987
10/31/87,Toledo,13,Kent State,17, ,Kent State,17,Toledo,13,1987
10/31/87,Texas Tech,27,Texas,41,6,Texas,41,Texas Tech,27,1987
10/31/87,Tulane,14,Florida State,73,28.5,Florida State,73,Tulane,14,1987
10/31/87,U.C.L.A.,31,Arizona State,23,-6.5,U.C.L.A.,31,Arizona State,23,1987
10/31/87,Nevada-Las Vegas,10,Fresno State,45, ,Fresno State,45,Nevada-Las Vegas,10,1987
10/31/87,Utah,31,Boise State,27, ,Utah,31,Boise State,27,1987
10/31/87,Virginia Tech,7,Kentucky,14,18,Kentucky,14,Virginia Tech,7,1987
10/31/87,Washington State,7,Southern Cal,42,18.5,Southern Cal,42,Washington State,7,1987
10/31/87,Wake Forest,17,Clemson,31,17,Clemson,31,Wake Forest,17,1987
10/31/87,Wisconsin,14,Purdue,49,6.5,Purdue,49,Wisconsin,14,1987
10/31/87,Western Michigan,27,Central Michigan,30, ,Central Michigan,30,Western Michigan,27,1987
10/31/87,West Virginia,21,Penn State,25,7,Penn State,25,West Virginia,21,1987
11/5/87,Eastern Michigan,38,Toledo,9, ,Eastern Michigan,38,Toledo,9,1987
11/7/87,Alabama,22,Louisiana State,10,7.5,Alabama,22,Louisiana State,10,1987
11/7/87,Army,10,Air Force,27,16,Air Force,27,Army,10,1987
11/7/87,Ball State,16,Western Michigan,31, ,Western Michigan,31,Ball State,16,1987
11/7/87,Baylor,7,Arkansas,10,14,Arkansas,10,Baylor,7,1987
11/7/87,Boston College,25,Notre Dame,32,16,Notre Dame,32,Boston College,25,1987
11/7/87,Cincinnati,16,Indiana State,40, ,Indiana State,40,Cincinnati,16,1987
11/7/87,Clemson,13,North Carolina,10,-2.5,Clemson,13,North Carolina,10,1987
11/7/87,Central Michigan,31,Ohio,17, ,Central Michigan,31,Ohio,17,1987
11/7/87,Colorado State,38,Hawaii,39,7.5,Hawaii,39,Colorado State,38,1987
11/7/87,Duke,27,Wake Forest,30,0,Wake Forest,30,Duke,27,1987
11/7/87,East Tennessee St,29,No Carolina State,14, ,East Tennessee St,29,No Carolina State,14,1987
11/7/87,Florida,10,Georgia,23,-3,Georgia,23,Florida,10,1987
11/7/87,Florida State,34,Auburn,6,-3.5,Florida State,34,Auburn,6,1987
11/7/87,Fullerton State,17,Fresno State,21, ,Fresno State,21,Fullerton State,17,1987
11/7/87,Iowa State,3,Nebraska,42,48,Nebraska,42,Iowa State,3,1987
11/7/87,Illinois,22,Indiana,34,7,Indiana,34,Illinois,22,1987
11/7/87,Iowa,52,Northwestern,24,-20.5,Iowa,52,Northwestern,24,1987
11/7/87,Kansas,17,Kansas State,17,2.5,Kansas,17,Kansas State,17,1987
11/7/87,Kent State,20,Bowling Green,30, ,Bowling Green,30,Kent State,20,1987
11/7/87,Kentucky,29,Vanderbilt,38,-5,Vanderbilt,38,Kentucky,29,1987
11/7/87,Long Beach State,17,Nevada-Las Vegas,30, ,Nevada-Las Vegas,30,Long Beach State,17,1987
11/7/87,Louisville,10,Tennessee,41,28,Tennessee,41,Louisville,10,1987
11/7/87,Memphis,7,UL-Lafayette,31, ,UL-Lafayette,31,Memphis,7,1987
11/7/87,Miami-Ohio,3,Miami-Florida,54, ,Miami-Florida,54,Miami-Ohio,3,1987
11/7/87,Michigan,30,Minnesota,20,-13,Michigan,30,Minnesota,20,1987
11/7/87,Missouri,10,Colorado,27,8,Colorado,27,Missouri,10,1987
11/7/87,UL-Monroe,34,Southern Miss,24, ,UL-Monroe,34,Southern Miss,24,1987
11/7/87,Northern Arizona,24,Tulsa,20, ,Northern Arizona,24,Tulsa,20,1987
11/7/87,Ohio State,24,Wisconsin,26,-18.5,Wisconsin,26,Ohio State,24,1987
11/7/87,Oklahoma State,10,Oklahoma,29,28.5,Oklahoma,29,Oklahoma State,10,1987
11/7/87,Oregon,17,Arizona State,37,13.5,Arizona State,37,Oregon,17,1987
11/7/87,Pacific,17,San Jose State,42, ,San Jose State,42,Pacific,17,1987
11/7/87,Penn State,21,Maryland,16,-7.5,Penn State,21,Maryland,16,1987
11/7/87,Pittsburgh,17,Rutgers,0,-7.5,Pittsburgh,17,Rutgers,0,1987
11/7/87,Purdue,3,Michigan State,45,18,Michigan State,45,Purdue,3,1987
11/7/87,San Diego State,21,Brigham Young,38,9.5,Brigham Young,38,San Diego State,21,1987
11/7/87,Stanford,24,Southern Cal,39,14.5,Southern Cal,39,Stanford,24,1987
11/7/87,Syracuse,34,Navy,10,-29,Syracuse,34,Navy,10,1987
11/7/87,Texas Christian,35,Texas Tech,36,0,Texas Tech,36,Texas Christian,35,1987
11/7/87,Temple,26,East Carolina,31,5,East Carolina,31,Temple,26,1987
11/7/87,Texas,40,Houston,60,-10,Houston,60,Texas,40,1987
11/7/87,Tulane,30,Mississippi State,19,4,Tulane,30,Mississippi State,19,1987
11/7/87,U.C.L.A.,52,Oregon State,17,-26,U.C.L.A.,52,Oregon State,17,1987
11/7/87,UTEP,30,Utah,24,-6.5,UTEP,30,Utah,24,1987
11/7/87,Utah State,25,New Mexico State,6, ,Utah State,25,New Mexico State,6,1987
11/7/87,Virginia,23,Georgia Tech,14,-1,Virginia,23,Georgia Tech,14,1987
11/7/87,Virginia Tech,16,West Virginia,28,16.5,West Virginia,28,Virginia Tech,16,1987
11/7/87,Washington,21,Arizona,21,-1.5,Washington,21,Arizona,21,1987
11/7/87,Western Illinois,14,Northern Illinois,29, ,Northern Illinois,29,Western Illinois,14,1987
11/7/87,Wyoming,59,New Mexico,16,-17.5,Wyoming,59,New Mexico,16,1987
11/14/87,Air Force,73,New Mexico,26,-21,Air Force,73,New Mexico,26,1987
11/14/87,Akron,27,Northern Illinois,21, ,Akron,27,Northern Illinois,21,1987
11/14/87,Alabama,6,Notre Dame,37,7,Notre Dame,37,Alabama,6,1987
11/14/87,Arizona,10,Southern Cal,12,11,Southern Cal,12,Arizona,10,1987
11/14/87,Arkansas,0,Texas A+M,14,6,Texas A+M,14,Arkansas,0,1987
11/14/87,Auburn,27,Georgia,11,0,Auburn,27,Georgia,11,1987
11/14/87,Arizona State,20,California,38,-8,California,38,Arizona State,20,1987
11/14/87,Boston College,17,Syracuse,45,12,Syracuse,45,Boston College,17,1987
11/14/87,Bowling Green,18,Eastern Michigan,38, ,Eastern Michigan,38,Bowling Green,18,1987
11/14/87,Brigham Young,37,UTEP,24,-3.5,Brigham Young,37,UTEP,24,1987
11/14/87,Colorado State,12,San Diego State,26,5,San Diego State,26,Colorado State,12,1987
11/14/87,East Carolina,34,Southern Miss,38,4,Southern Miss,38,East Carolina,34,1987
11/14/87,Fresno State,13,Utah State,17, ,Utah State,17,Fresno State,13,1987
11/14/87,Furman,10,Florida State,41, ,Florida State,41,Furman,10,1987
11/14/87,Houston,37,Temple,7,-2,Houston,37,Temple,7,1987
11/14/87,Indiana,3,Michigan State,27,9,Michigan State,27,Indiana,3,1987
11/14/87,Iowa,29,Ohio State,27,-1.5,Iowa,29,Ohio State,27,1987
11/14/87,Kansas State,14,Iowa State,16,8,Iowa State,16,Kansas State,14,1987
11/14/87,Kentucky,14,Florida,27,12.5,Florida,27,Kentucky,14,1987
11/14/87,Lafayette,37,Army,49, ,Army,49,Lafayette,37,1987
11/14/87,Long Beach State,16,San Jose State,44, ,San Jose State,44,Long Beach State,16,1987
11/14/87,Louisville,8,Memphis,43,10.5,Memphis,43,Louisville,8,1987
11/14/87,Maryland,16,Clemson,45,11,Clemson,45,Maryland,16,1987
11/14/87,Miami-Ohio,10,Kent State,14, ,Kent State,14,Miami-Ohio,10,1987
11/14/87,Michigan,17,Illinois,14,-10.5,Michigan,17,Illinois,14,1987
11/14/87,Mississippi,13,Tennessee,55,12,Tennessee,55,Mississippi,13,1987
11/14/87,Missouri,13,Oklahoma,17,35,Oklahoma,17,Missouri,13,1987
11/14/87,Mississippi State,14,Louisiana State,34,25,Louisiana State,34,Mississippi State,14,1987
11/14/87,Navy,31,Delaware,22, ,Navy,31,Delaware,22,1987
11/14/87,North Carolina,17,Virginia,20,-3.5,Virginia,20,North Carolina,17,1987
11/14/87,No Carolina State,47,Duke,45,6.5,No Carolina State,47,Duke,45,1987
11/14/87,Northwestern,15,Purdue,20,9,Purdue,20,Northwestern,15,1987
11/14/87,Ohio,17,Ball State,30, ,Ball State,30,Ohio,17,1987
11/14/87,Oklahoma State,49,Kansas,17,-29,Oklahoma State,49,Kansas,17,1987
11/14/87,Oregon,31,Washington State,17,1.5,Oregon,31,Washington State,17,1987
11/14/87,Pacific,22,Fullerton State,14, ,Pacific,22,Fullerton State,14,1987
11/14/87,Penn State,0,Pittsburgh,10,1,Pittsburgh,10,Penn State,0,1987
11/14/87,Austin Peay,10,Cincinnati,42, ,Cincinnati,42,Austin Peay,10,1987
11/14/87,Rice,31,Baylor,34,15,Baylor,34,Rice,31,1987
11/14/87,Rutgers,13,West Virginia,37,14,West Virginia,37,Rutgers,13,1987
11/14/87,South Carolina,30,Wake Forest,0,-18,South Carolina,30,Wake Forest,0,1987
11/14/87,Stanford,38,Oregon State,7,-8,Stanford,38,Oregon State,7,1987
11/14/87,UL-Lafayette,10,Tulane,38, ,Tulane,38,UL-Lafayette,10,1987
11/14/87,Texas Christian,21,Texas,24,3,Texas,24,Texas Christian,21,1987
11/14/87,Toledo,17,Central Michigan,17, ,Toledo,17,Central Michigan,17,1987
11/14/87,Nevada-Las Vegas,29,New Mexico State,6, ,Nevada-Las Vegas,29,New Mexico State,6,1987
11/14/87,Virginia Tech,13,Miami-Florida,27,37.5,Miami-Florida,27,Virginia Tech,13,1987
11/14/87,Washington,14,U.C.L.A.,47,14.5,U.C.L.A.,47,Washington,14,1987
11/14/87,Wisconsin,19,Minnesota,22,11.5,Minnesota,22,Wisconsin,19,1987
11/14/87,Wyoming,31,Utah,7,-14.5,Wyoming,31,Utah,7,1987
11/21/87,Air Force,34,Hawaii,31,-6.5,Air Force,34,Hawaii,31,1987
11/21/87,Ball State,23,Indiana State,24, ,Indiana State,24,Ball State,23,1987
11/21/87,Baylor,16,Texas,34,9,Texas,34,Baylor,16,1987
11/21/87,California,7,Stanford,31,5.5,Stanford,31,California,7,1987
11/21/87,Cincinnati,20,Virginia Tech,21,12,Virginia Tech,21,Cincinnati,20,1987
11/21/87,Clemson,7,South Carolina,20,7.5,South Carolina,20,Clemson,7,1987
11/21/87,Central Michigan,17,Bowling Green,18, ,Bowling Green,18,Central Michigan,17,1987
11/21/87,Colorado,41,Kansas State,0,-28.5,Colorado,41,Kansas State,0,1987
11/21/87,Colorado State,28,UL-Lafayette,35, ,UL-Lafayette,35,Colorado State,28,1987
11/21/87,Duke,25,North Carolina,10,7.5,Duke,25,North Carolina,10,1987
